"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)","Latest: Potential 3 (V)"
412,1.884,3.81563,2.12698
413,1.88278,3.81441,2.12698
414,1.88278,3.81563,2.11722
415,1.88034,3.81441,2.11722
416,1.87912,3.81441,2.11722
417,1.87912,3.81319,2.11233
418,1.87668,3.81319,2.11233
419,1.87668,3.81197,2.10745
420,1.87546,3.81197,2.10745
421,1.87424,3.81197,2.10256
422,1.87546,3.81075,2.09768
423,1.87302,3.81075,2.09768
424,1.87179,3.81075,2.0928
425,1.87179,3.80952,2.0928
426,1.87179,3.80952,2.0928
427,1.87057,3.8083,2.08791
428,1.86813,3.8083,2.08791
429,1.86813,3.8083,2.08303
430,1.86569,3.80708,2.07815
431,1.86569,3.80708,2.07815
432,1.86569,3.80586,2.07326
433,1.86447,3.80464,2.07326
434,1.86203,3.80464,2.06838
435,1.86081,3.80464,2.06349
436,1.86081,3.80464,2.06349
437,1.85958,3.80342,2.05861
438,1.85836,3.80342,2.05861
439,1.85714,3.8022,2.05372
440,1.85714,3.8022,2.05372
441,1.8547,3.8022,2.04884
442,1.8547,3.80098,2.04884
443,1.85348,3.80098,2.04396
444,1.85226,3.79976,2.04396
445,1.85226,3.79976,2.04396
446,1.85104,3.79976,2.03907
447,1.84982,3.79976,2.03907
448,1.84982,3.79853,2.03419
449,1.8486,3.79731,2.0293
450,1.84737,3.79731,2.0293
451,1.84737,3.79731,2.0293
452,1.84615,3.79731,2.02442
453,1.84493,3.79609,2.01954
454,1.84249,3.79609,2.01954
455,1.84371,3.79487,2.01954
456,1.84371,3.79487,2.01954
457,1.84127,3.79487,2.01465
458,1.84005,3.79365,2.00977
459,1.84005,3.79365,2.00488
460,1.83883,3.79243,2.00488
461,1.83761,3.79243,2
462,1.83761,3.79243,2
463,1.83639,3.79121,1.99512
464,1.83516,3.79121,1.99512
465,1.83516,3.79121,1.99512
466,1.83272,3.79121,1.99512
467,1.83272,3.78999,1.99023
468,1.83272,3.78999,1.98535
469,1.8315,3.78999,1.98535
470,1.8315,3.78999,1.98046
471,1.83028,3.78877,1.98046
472,1.82784,3.78877,1.98046
473,1.82784,3.78877,1.97558
474,1.82662,3.78755,1.97558
475,1.8254,3.78755,1.97558
476,1.8254,3.78632,1.97558
477,1.82418,3.78632,1.9707
478,1.82418,3.78632,1.9707
479,1.82173,3.78632,1.96581
480,1.82295,3.7851,1.96581
481,1.82295,3.7851,1.96093
482,1.82051,3.78388,1.96093
483,1.82051,3.78388,1.96093
484,1.81929,3.78388,1.95604
485,1.82051,3.78388,1.95604
486,1.81807,3.78266,1.95604
487,1.81807,3.78266,1.95116
488,1.81563,3.78266,1.95116
489,1.81685,3.78266,1.95116
490,1.81563,3.78266,1.94628
491,1.81319,3.78144,1.94628
492,1.81441,3.78144,1.94139
493,1.81319,3.78144,1.94139
494,1.81197,3.78022,1.94139
495,1.81197,3.78022,1.93651
496,1.81197,3.78022,1.93651
497,1.81074,3.78022,1.93651
498,1.8083,3.779,1.93162
499,1.8083,3.779,1.93162
500,1.8083,3.779,1.93162
501,1.80708,3.77778,1.92674
502,1.80708,3.77778,1.92674
503,1.80586,3.77778,1.92186
504,1.80586,3.77778,1.92186
505,1.80464,3.77656,1.92186
506,1.8022,3.77656,1.91697
507,1.8022,3.77534,1.91697
508,1.8022,3.77534,1.91697
509,1.79976,3.77534,1.91209
510,1.79731,3.77534,1.91209
511,1.79976,3.77534,1.9072
512,1.79976,3.77411,1.9072
513,1.79731,3.77411,1.9072
514,1.79731,3.77289,1.90232
515,1.79487,3.77289,1.90232
516,1.79609,3.77289,1.90232
517,1.79365,3.77289,1.89255
518,1.79365,3.77167,1.89255
519,1.79243,3.77167,1.89255
520,1.79365,3.77167,1.88767
521,1.79121,3.77045,1.89255
522,1.79121,3.77045,1.88767
523,1.78877,3.77045,1.88278
524,1.78877,3.77045,1.88278
525,1.78755,3.76923,1.8779
526,1.78755,3.76923,1.8779
527,1.78755,3.76801,1.8779
528,1.78755,3.76801,1.8779
529,1.78632,3.76801,1.87302
530,1.7851,3.76679,1.86813
531,1.7851,3.76679,1.86813
532,1.78388,3.76679,1.86325
533,1.78266,3.76557,1.86813
534,1.78144,3.76557,1.85836
535,1.78144,3.76557,1.85836
536,1.78022,3.76557,1.85836
537,1.78022,3.76435,1.85836
538,1.78022,3.76435,1.85348
539,1.779,3.76313,1.85348
540,1.77778,3.76313,1.8486
541,1.77656,3.76313,1.8486
542,1.77534,3.76313,1.8486
543,1.77534,3.7619,1.84371
544,1.77411,3.7619,1.84371
545,1.77411,3.7619,1.83883
546,1.77411,3.76068,1.83883
547,1.77289,3.76068,1.83883
548,1.77045,3.76068,1.83883
549,1.77167,3.76068,1.83394
550,1.77289,3.75946,1.82906
551,1.76923,3.75946,1.82906
552,1.77045,3.75946,1.82906
553,1.76801,3.75946,1.82906
554,1.76801,3.75824,1.82418
555,1.76679,3.75824,1.82418
556,1.76679,3.75824,1.82418
557,1.76557,3.75824,1.81929
558,1.76435,3.75824,1.81929
559,1.76435,3.75702,1.81929
560,1.76313,3.75702,1.81929
561,1.76313,3.75702,1.81441
562,1.76313,3.7558,1.81441
563,1.76313,3.7558,1.80952
564,1.76068,3.7558,1.80952
565,1.76068,3.75458,1.80952
566,1.76068,3.75458,1.80952
567,1.76068,3.75458,1.80464
568,1.75824,3.75458,1.80464
569,1.75702,3.75336,1.80464
570,1.75824,3.75336,1.79976
571,1.75824,3.75336,1.79976
572,1.75702,3.75336,1.79976
573,1.75702,3.75336,1.79976
574,1.75458,3.75336,1.79487
575,1.75336,3.75214,1.79487
576,1.75458,3.75214,1.78999
577,1.75458,3.75214,1.78999
578,1.75336,3.75092,1.78999
579,1.75214,3.75092,1.78999
580,1.75092,3.75092,1.7851
581,1.75214,3.74969,1.7851
582,1.75092,3.74969,1.7851
583,1.75214,3.74969,1.78022
584,1.74969,3.74969,1.78022
585,1.74969,3.74969,1.77534
586,1.74847,3.74969,1.78022
587,1.74847,3.74847,1.77534
588,1.74725,3.74847,1.77534
589,1.74603,3.74847,1.77045
590,1.74603,3.74847,1.77045
591,1.74603,3.74725,1.77045
592,1.74481,3.74725,1.76557
593,1.74359,3.74725,1.76557
594,1.74359,3.74603,1.76557
595,1.74359,3.74603,1.76557
596,1.74359,3.74603,1.76557
597,1.74237,3.74603,1.76068
598,1.74115,3.74603,1.7558
599,1.74115,3.74481,1.7558
600,1.73993,3.74481,1.7558
601,1.73993,3.74481,1.7558
602,1.73993,3.74481,1.75092
603,1.73871,3.74359,1.75092
604,1.73871,3.74359,1.75092
605,1.73871,3.74359,1.75092
606,1.73626,3.74359,1.74603
607,1.73626,3.74237,1.74603
608,1.73626,3.74237,1.74603
609,1.73626,3.74237,1.74603
610,1.73504,3.74237,1.74115
611,1.73504,3.74237,1.74115
612,1.73382,3.74115,1.74115
613,1.7326,3.74115,1.74115
614,1.7326,3.74115,1.73626
615,1.7326,3.74115,1.73626
616,1.73138,3.74115,1.73626
617,1.73138,3.74115,1.73138
618,1.73138,3.73993,1.73138
619,1.73016,3.73993,1.7265
620,1.72894,3.73993,1.73138
621,1.72894,3.73871,1.73138
622,1.72772,3.73871,1.7265
623,1.72894,3.73871,1.7265
624,1.72894,3.73871,1.72161
625,1.72894,3.73871,1.72161
626,1.72527,3.73871,1.72161
627,1.7265,3.73871,1.72161
628,1.72527,3.73748,1.71673
629,1.72527,3.73748,1.71673
630,1.72527,3.73748,1.71673
631,1.72405,3.73748,1.71673
632,1.72405,3.73626,1.71184
633,1.72405,3.73626,1.71184
634,1.72405,3.73626,1.71184
635,1.72283,3.73626,1.71184
636,1.72161,3.73626,1.70696
637,1.72161,3.73626,1.70696
638,1.72039,3.73626,1.70696
639,1.72161,3.73504,1.70208
640,1.71917,3.73504,1.70208
641,1.71917,3.73504,1.70208
642,1.71795,3.73382,1.70208
643,1.71673,3.73382,1.69719
644,1.71795,3.73382,1.69719
645,1.71795,3.73382,1.69719
646,1.71795,3.73382,1.69719
647,1.71673,3.7326,1.69231
648,1.71429,3.7326,1.69231
